Time,Voltage,Sensor,Temperature,RH,K,Na,Cs,Li,Time,Sensor,Voltage,,,Fitted line,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,Sensor recliabrated,,0.02,9.7865,,,,,
38.7634424,3.056548364,421,26.12,9.25,100,0,0,0,337.8247792,2049.8,3.101651645,31.2095,,Feb 19th BO,Aug12th Catalyst,,50mA,,,
40.1181665,3.062301331,432,26.12,9.29,100,0,0,0,910.4784405,2428,3.076831687,38.7735,,Activation,1:45PM,T:25.94,,,,
41.2989525,3.06197259,445,26.11,9.29,0,100,0,0,1482.84846,2700.4,3.130942496,44.2215,,"K,K,Na,Na,K,Na,Cs,Li,K,K,K,K",,,,,,
42.4745827,3.063945037,456,26.11,9.33,0,100,0,0,2054.802522,2757,3.132947819,45.3535,,From activation,Noise,Sensor,FE,V,T,
43.6528486,3.066574965,461,26.1,9.33,100,0,0,0,2626.9536,2484.6,3.079428741,39.9055,,K ,441,2926,C8,3.08,25.93,sampling wrong
44.8264544,3.067232447,461,26.1,9.36,0,100,0,0,3199.122418,2787,3.135281883,45.9535,,Na,443,3227,43.61,3.132,26.01,
46.0134983,3.069533635,483,26.1,9.4,0,0,100,0,3771.780498,2150.4,3.066542091,33.2215,,Cs,461,2613,33.01,3.06,26,
47.196362,3.069698005,496,26.09,9.4,0,0,0,100,4343.569825,1040,3.267830563,11.0135,,Li,456,1489,9.52,3.277,25.86,
48.361651,3.075944086,507,26.09,9.4,100,0,0,0,4915.343128,2596.4,3.09044157,42.1415,,TuRBO 45 iterations,,,,,,
49.5807779,3.069533635,514,26.09,9.44,100,0,0,0,5488.177941,2545.8,3.091197675,41.1295,,Validation,,,,,,
50.7475697,3.072492304,527,26.08,9.44,100,0,0,0,6061.056741,2560.6,3.092446891,41.4255,,K ,,,x,,,
51.9154093,3.073642898,545,26.08,9.48,100,0,0,0,6633.256258,2552.6,3.095076821,41.2655,,Na,574,3216,44.84,3.16,25.15,
54.4124285,3.072163563,572,26.06,9.48,23,54,0,23,7207.864672,2803.6,3.138404926,46.2855,,Cs,562,2781,36.07,3.09,25.37,
55.6896597,3.071670452,590,26.06,9.52,13,76,0,11,7780.314453,2809.2,3.144749636,46.3975,,Li,569,1578,11.29,3.31,25.5,
56.9050497,3.072985416,601,26.06,9.52,0,92,8,0,8352.460776,2715.2,3.133572427,44.5175,,,,,,,,
58.0859866,3.075286603,617,26.05,9.52,0,32,51,17,8925.187419,2347.4,3.103130981,37.1615,,,,,,,,
59.3159635,3.07725905,632,26.05,9.56,0,52,23,25,9497.485329,2526.6,3.1250909,40.7455,,,,,,,,
60.563582,3.076272827,659,26.04,9.56,0,86,8,6,10070.38853,2719,3.140903361,44.5935,,,,,,,,
61.7656211,3.072985416,670,26.04,9.56,14,81,5,0,10642.32759,2701.8,3.140114382,44.2495,,,,,,,,
62.9594211,3.075944086,688,26.04,9.56,6,85,9,0,11214.36677,2668.4,3.137681695,43.5815,,,,,,,,
64.1689809,3.077752162,695,26.04,9.56,3,93,2,2,11787.09534,2874.2,3.160003242,47.6975,,,,,,,,
65.4423793,3.072985416,726,26.03,9.56,9,84,0,7,12359.51836,2879.4,3.155729602,47.8015,,,,,,,,
66.6306704,3.078245273,741,26.03,9.56,0,0,100,0,12932.32992,2208.8,3.088501997,34.3895,,,,,,,,
67.8319868,3.07709468,755,26.03,9.56,16,71,0,13,13504.93213,2838.8,3.154579007,46.9895,,,,,,,,
69.0312147,3.079067126,773,26.03,9.59,27,62,0,11,14077.93597,2758.2,3.145505741,45.3775,,,,,,,,
70.3135617,3.082354537,804,26.02,9.59,28,57,0,15,14649.97592,2766.2,3.143533293,45.5375,,,,,,,,
71.529841,3.079888979,826,26.02,9.59,21,59,1,19,15221.94883,2777,3.151817578,45.7535,,,,,,,,
72.7317488,3.079395867,842,26.01,9.59,25,53,0,22,15793.95664,2778.8,3.146820707,45.7895,,,,,,,,
73.906553,3.079067126,857,26.01,9.59,29,51,0,20,16366.93655,2744.6,3.145407119,45.1055,,,,,,,,
75.1890518,3.078738385,889,26.01,9.59,33,49,0,18,16938.9123,2743.6,3.141889585,45.0855,,,,,,,,
76.3674296,3.078245273,911,26.01,9.63,37,47,0,16,17511.99296,2709.6,3.139818514,44.4055,,,,,,,,
77.542853,3.078409644,929,26.01,9.63,29,4,0,67,18084.10956,2806.4,3.149549262,46.3415,,,,,,,,
78.7355905,3.079231497,945,26,9.63,6,26,0,68,18656.27711,2872.6,3.179070254,47.6655,,,,,,,,
79.9461281,3.08021772,958,26.01,9.63,0,0,100,0,19228.18525,2256.4,3.090638815,35.3415,,,,,,,,
81.1416756,3.079067126,996,26,9.63,0,37,0,63,19800.23454,2676.6,3.190609087,43.7455,,,,,,,,
82.3276304,3.081861426,1014,26,9.63,8,23,0,69,20373.34314,2866,3.178610016,47.5335,,,,,,,,
83.5340777,3.080546461,1031,25.99,9.63,19,11,0,70,20945.54848,2832.8,3.161186711,46.8695,,,,,,,,
84.7359376,3.081697055,1045,25.99,9.62,32,2,0,66,21518.66909,2774,3.147576813,45.6935,,,,,,,,
85.9405507,3.080546461,1078,25.99,9.62,36,0,0,64,22090.70814,2758.8,3.144716762,45.3895,,,,,,,,
87.1104704,3.079724608,1096,25.99,9.62,37,0,0,63,22663.58636,2751.8,3.142514194,45.2495,,,,,,,,
88.3166665,3.079395867,1112,25.98,9.62,35,0,0,65,23235.92033,2743,3.144256524,45.0735,,,,,,,,
89.5161643,3.084162614,1128,25.99,9.62,38,0,0,62,23808.9622,2752.6,3.140640368,45.2655,,,,,,,,
90.8111099,3.083505131,1163,25.98,9.62,34,1,0,65,24381.62177,2778.2,3.14438802,45.7775,,,,,,,,
91.991982,3.084326984,1177,25.98,9.62,35,1,0,64,24954.65346,2770,3.143862034,45.6135,,,,,,,,
93.1822247,3.080875202,1193,25.97,9.62,0,0,100,0,25527.24037,2254.6,3.090145703,35.3055,,,,,,,,
94.3920191,3.084655725,1208,25.97,9.62,34,0,0,66,26100.28687,2757.6,3.149450639,45.3655,,,,,,,,
95.563886,3.087943137,1222,25.97,9.62,39,0,0,61,26672.50853,2756.2,3.144815384,45.3375,,,,,,,,
