iter,selected_id,FE,best_y,length,s,f,warmup_remaining,center_z01_x,center_z01_y,center_z01_z,lb_x,lb_y,lb_z,ub_x,ub_y,ub_z
1,97472,49.03244,49.03244,0.8,1,0,4,0.3618839760419995,0.9363553189397048,0.5746928743040435,0.36122136831968044,0.3218439091673915,0.0,1.0,1.0,0.5747894526523282
2,63209,49.14108,49.03244,0.8,0,1,3,0.22499777298754967,0.9285325821416137,0.6860065656787387,0.0,0.5363553189397048,0.17469287430404346,0.7618839760419995,1.0,0.9746928743040435
3,5114,47.317479999999996,49.03244,0.8,0,2,2,0.015744547596531894,0.7091998388879709,0.8715844226139992,0.0,0.5285325821416137,0.2860065656787387,0.6249977729875497,1.0,1.0
4,2787,40.18216,49.03244,0.4,0,0,1,0.20076163426133228,0.311994387306371,0.6432858028697189,0.0,0.30919983888797087,0.47158442261399913,0.4157445475965319,1.0,1.0
5,3949,43.65864,49.03244,0.4,0,1,0,0.11955192273226838,0.5051126120544925,0.5567269625685239,0.0007616342613322724,0.11199438730637101,0.4432858028697189,0.40076163426133227,0.511994387306371,0.843285802869719
6,5039,47.391200000000005,49.03244,0.4,0,2,0,0.028385763104181116,0.7019648009732342,0.7447237005095061,0.0,0.3051126120544925,0.35672696256852393,0.3195519227322684,0.7051126120544926,0.756726962568524
7,67099,47.057520000000004,49.03244,0.2,0,0,0,0.22208843078173612,0.843578279774698,0.9215333425707711,0.0,0.5019648009732343,0.544723700509506,0.22838576310418113,0.9019648009732342,0.9447237005095062
8,33925,46.409560000000006,49.03244,0.2,0,1,0,0.12857256745788226,0.7439011786075315,0.9106591805629186,0.12208843078173612,0.743578279774698,0.8215333425707712,0.3220884307817361,0.943578279774698,1.0
9,19989,50.40208,50.40208,0.2,1,0,0,0.06841742542979304,0.8384528110678863,0.8128992260108278,0.028572567457882253,0.6439011786075315,0.8106591805629186,0.22857256745788226,0.8439011786075314,1.0
10,47049,50.50296,50.40208,0.2,0,1,0,0.16661267044459355,0.9163468822410981,0.7318826574765973,0.0,0.7384528110678863,0.7128992260108278,0.16841742542979304,0.9384528110678863,0.9128992260108277
11,74406,49.715320000000006,50.40208,0.2,0,2,0,0.2630520753884259,0.9360157978684703,0.6678732222152797,0.06661267044459354,0.8163468822410981,0.6318826574765973,0.2666126704445936,1.0,0.8318826574765973
12,109248,48.15168,50.40208,0.1,0,0,0,0.3611807167051764,0.9640656436718357,0.7116905851225549,0.1630520753884259,0.8360157978684704,0.5678732222152797,0.3630520753884259,1.0,0.7678732222152796
13,111891,48.30688,50.40208,0.1,0,1,0,0.3817491184669711,0.9586588434302226,0.6626619533725581,0.3111807167051764,0.9140656436718356,0.6616905851225549,0.41118071670517636,1.0,0.7616905851225549
14,91301,48.516400000000004,50.40208,0.1,0,2,0,0.3331621674247756,0.9151223885065946,0.6174487566485645,0.33174911846697114,0.9086588434302225,0.612661953372558,0.4317491184669711,1.0,0.7126619533725581
15,103425,48.551320000000004,50.40208,0.05,0,0,0,0.37743696074429356,0.9414980032070429,0.5863734333479544,0.2831621674247756,0.8651223885065945,0.5674487566485644,0.3831621674247756,0.9651223885065946,0.6674487566485645
16,114424,47.887840000000004,50.40208,0.05,0,1,0,0.4067281579979833,0.9505623208058331,0.609627072455202,0.35243696074429354,0.9164980032070429,0.5613734333479544,0.4024369607442936,0.9664980032070429,0.6113734333479545
17,124267,47.86844,50.40208,0.05,0,2,0,0.43403854375946377,0.958236228711813,0.6330284255937967,0.38172815799798326,0.9255623208058331,0.584627072455202,0.4317281579979833,0.9755623208058332,0.634627072455202
18,133018,47.20884,50.40208,0.8,0,0,5,0.3251947864624413,0.7845666766461195,0.2457068162289176,0.40903854375946375,0.933236228711813,0.6080284255937967,0.4590385437594638,0.983236228711813,0.6580284255937967
19,112309,49.086760000000005,50.40208,0.8,0,1,4,0.713625742570229,0.7749134159218267,0.238729243076993,0.0,0.38456667664611943,0.0,0.7251947864624413,1.0,0.6457068162289177
20,31556,50.37104,50.40208,0.8,0,2,3,0.3309079163265616,0.7812968398844794,0.2400040711495188,0.313625742570229,0.3749134159218267,0.0,1.0,1.0,0.6387292430769931
21,3071,46.56864,50.40208,0.4,0,0,2,0.1773081530558276,0.7570257509148166,0.239604950923144,0.0,0.3812968398844794,0.0,0.7309079163265616,1.0,0.6400040711495188
22,40322,50.243,50.40208,0.4,0,1,1,0.37361086815460703,0.7849691781273045,0.23936181058791528,0.0,0.5570257509148167,0.03960495092314398,0.3773081530558276,0.9570257509148166,0.439604950923144
23,82414,49.59892000000001,50.40208,0.4,0,2,0,0.5673034798317883,0.7879454315279832,0.23825787478909446,0.17361086815460702,0.5849691781273045,0.03936181058791527,0.573610868154607,0.9849691781273044,0.4393618105879153
24,119833,48.458200000000005,50.40208,0.2,0,0,0,0.7612213683196806,0.7653609930371165,0.23520744958031203,0.3673034798317883,0.5879454315279833,0.038257874789094454,0.7673034798317884,0.9879454315279832,0.4382578747890945
25,128946,48.163320000000006,50.40208,0.2,0,1,0,0.818207454847293,0.7544591664889886,0.23422879809248498,0.6612213683196806,0.6653609930371165,0.13520744958031203,0.8612213683196805,0.8653609930371164,0.335207449580312
26,131091,48.02752000000001,50.40208,0.2,0,2,0,0.8226918469441724,0.7570257509148166,0.23960495092314404,0.718207454847293,0.6544591664889886,0.13422879809248497,0.9182074548472929,0.8544591664889886,0.33422879809248496
27,126735,47.8568,50.40208,0.1,0,0,0,0.8136244968323822,0.7518361691214125,0.2288591316574049,0.7226918469441724,0.6570257509148166,0.13960495092314404,0.9226918469441724,0.8570257509148166,0.339604950923144
28,133171,48.043040000000005,50.40208,0.1,0,1,0,0.827081823736875,0.759538297949617,0.2449906111087779,0.7636244968323822,0.7018361691214124,0.1788591316574049,0.8636244968323823,0.8018361691214125,0.2788591316574049
29,124524,48.53968,50.40208,0.1,0,2,0,0.7890648263178879,0.7605286901568137,0.2351422626254229,0.777081823736875,0.709538297949617,0.1949906111087779,0.877081823736875,0.8095382979496171,0.2949906111087779
30,126801,48.3806,50.40208,0.05,0,0,0,0.7937507807269459,0.763210636192442,0.24055453835650065,0.7390648263178878,0.7105286901568136,0.18514226262542288,0.8390648263178879,0.8105286901568137,0.2851422626254229
31,124457,48.14004,50.40208,0.05,0,1,0,0.8089385424233241,0.7491542230857842,0.22349286669255733,0.7687507807269459,0.738210636192442,0.21555453835650065,0.818750780726946,0.788210636192442,0.26555453835650067
32,135187,48.11288,50.40208,0.05,0,2,0,0.8313812790626851,0.7619990361813266,0.25038874809212835,0.7839385424233241,0.7241542230857841,0.19849286669255733,0.8339385424233241,0.7741542230857842,0.24849286669255732
33,140920,47.88008,50.40208,0.8,0,0,5,0.0838701378552271,0.8908140571319735,0.782850393185909,0.8063812790626851,0.7369990361813266,0.22538874809212836,0.8563812790626851,0.7869990361813266,0.2753887480921284
34,111991,47.88008,50.40208,0.8,0,1,4,0.3582294311343148,0.9721200354723607,0.772196626787019,0.0,0.49081405713197346,0.38285039318590897,0.48387013785522714,1.0,1.0
35,5141,47.3136,50.40208,0.8,0,2,3,0.005765792118652545,0.8552058258144893,0.7571120394912716,0.0,0.5721200354723607,0.3721966267870189,0.7582294311343148,1.0,1.0
36,5115,47.367920000000005,50.40208,0.4,0,0,2,0.01371022711222242,0.8506589301180384,0.6844020699083638,0.0,0.4552058258144893,0.35711203949127157,0.40576579211865255,1.0,1.0
37,5148,46.91784,50.40208,0.4,0,1,1,0.0019042707300171147,0.8574159181618937,0.8019410571348563,0.0,0.6506589301180383,0.4844020699083638,0.21371022711222243,1.0,0.8844020699083639
38,55321,48.101240000000004,50.40208,0.4,0,2,0,0.19424497278352876,0.924420122993522,0.7229262739559129,0.0,0.6574159181618937,0.6019410571348562,0.20190427073001713,1.0,1.0
39,4749,48.303000000000004,50.40208,0.2,0,0,0,0.05872645089857111,0.7445842165193759,0.5231516488798377,0.0,0.7244201229935221,0.5229262739559128,0.39424497278352877,1.0,0.922926273955913
40,4590,48.08184,50.40208,0.2,0,1,0,0.07168193352782239,0.8174795658674209,0.42635732383192376,0.0,0.6445842165193759,0.4231516488798377,0.15872645089857113,0.8445842165193759,0.6231516488798376
41,33646,48.124520000000004,50.40208,0.2,0,2,0,0.16440612926438025,0.8765920068355817,0.5237691617073199,0.0,0.7174795658674209,0.32635732383192373,0.1716819335278224,0.9174795658674209,0.5263573238319238
42,14998,47.546400000000006,50.40208,0.1,0,0,0,0.07527712941275037,0.8589389853833801,0.5804325797367639,0.06440612926438025,0.7765920068355817,0.42376916170731993,0.26440612926438023,0.9765920068355817,0.6237691617073199
43,5085,47.28644,50.40208,0.1,0,1,0,0.019873716105436274,0.8471313360725148,0.6397943769579686,0.02527712941275037,0.80893898538338,0.5304325797367638,0.12527712941275038,0.9089389853833801,0.6304325797367639
44,10165,47.35628,50.40208,0.1,0,2,0,0.035618263701968036,0.8608690798949125,0.691782173791911,0.0,0.7971313360725147,0.5897943769579685,0.06987371610543627,0.8971313360725148,0.6897943769579686
45,15136,47.15064,50.40208,0.05,0,0,0,0.049712559624584866,0.873570539728719,0.7512082073134229,0.0,0.8108690798949124,0.6417821737919109,0.08561826370196804,0.9108690798949125,0.741782173791911
